食べます,たべます,to eat
飲みます,のみます,to drink
吸います,すいます,to smoke / to inhale
煙草を吸います,たばこをすいます,to smoke cigarettes
見ます,みます,to see / to watch / to look at
聞きます,ききます,to listen / to ask
読みます,よみます,to read
書きます,かきます,to write
買います,かいます,to buy
撮ります,とります,to take / to take a photo
—,しゃしんをとります,to take a photo
します,します,to do
会います,あいます,to meet
—,ともだちをあいます,(incorrect learner form) “meet a friend
ご飯,ごはん,rice / meal
朝ご飯,あさごはん,breakfast
昼ご飯,ひるごはん,lunch
晩ご飯,ばんごはん,dinner
パン,パン,bread
卵,たまご,egg
肉,にく,meat
魚,さかな,fish
野菜,やさい,vegetables
果物,くだもの,fruit
水,みず,water
お茶,おちゃ,tea (usually green tea)
紅茶,こうちゃ,black tea
牛乳,ぎゅうにゅう,milk
—,ミリク,milk” (loanword ミルク is standard; ミリク is likely a typo/variant)
ジュース,ジュース,juice
ビール,ビール,beer
—,さけ,alcohol / Japanese rice wine
ビデオ,ビデオ,video
映画,えいが,movie / film
手紙,てがみ,letter
レポート,レポート,report / paper
写真,しゃしん,photo / picture
店,みせ,shop / store
レストラン,レストラン,restaurant
庭,にわ,garden / yard
宿題,しゅくだい,homework
—,しゅくだいをします,to do homework
テニス,テニス,tennis
サッカー,サッカー,soccer / football
—,サッカーをします,to play soccer
—,はなみ,flower viewing (usually cherry blossoms)
—,はなみをします,to go flower viewing
何,なに,what
一緒に,いっしょに,together (with someone)
—,ちょっと,a little / a bit
—,いつも,always / usually
時々,ときどき,sometimes
—,それから,and then / after that
—,ええ,yes” (polite/casual)
良いですね,いいですね,That’s nice / Sounds good
分かりました,わかりました,I understand / Got it
何ですか,なんですか,What is it?
—,じゃ、またあした,"Well then, see you tomorrow"
