登ります,のぼります,climb
—,やまにのぼります,climb a mountain
泊まります,とまります,stay
—,ホテルにとまります,stay at a hotel
掃除します,そうじします,clean (a room)
洗濯します,せんたくします,wash (clothes)
練習します,れんしゅうします,practice
—,なります,become
眠い,ねむい,sleepy
強い,つよい,strong
弱い,よわい,weak
調子がいい,ちょうしがいい,be in good condition
調子が悪い,ちょうしがわるい,be in bad condition
調子,ちょうし,condition
—,ゴルフ,golf
—,ゴルフをします,play golf
相撲,すもう,sumo wrestling
パチンコ,パチンコ,pinball game
—,パチンコをします,play pachinko
お茶,おちゃ,tea ceremony
—,ひ,"day, date"
一度,いちど,once
一度も,いちども,"not once, never (used with negatives)"
—,だんだん,gradually
—,もうすぐ,soon
お蔭さまで,おかげさまで,Thank you (used when expressing gratitude for help received)
乾杯,かんぱい,"Bottoms up!, Cheers!"
実は,じつは,"actually, to tell the truth"
ダイエット,ダイエット,diet
—,ダイエットをします,go on a diet
何回も,なんかいも,many times
—,しかし,"but, however"
—,むり,"excessive, impossible"
—,からだにいい,good for one's health
—,ケーキ,cake
—,かつしかほくさい,(Katsushika Hokusai) famous Edo period wood block artist and painter (1760-1849)
