切ります,きります,"cut, slice"
送ります,おくります,পাঠানো / উপহার দেওয়া
上げます,あげます,দেওয়া
貰います,もらいます,গ্রহণ করা
貸します,かします,ধার দেওয়া
借ります,かります,ধার নেওয়া
教えます,おしえます,শেখানো
習います,ならいます,শেখা
—,でんわをかけます,make a telephone call
手,て,"hand, arm"
箸,はし,chopsticks
スプーン,スプーン,spoon
ナイフ,ナイフ,knife
フォーク,フォーク,fork
鋏,はさみ,scissors
ファクス,ファクス,fax
ワープロ,ワープロ,word procecessor
パソコン,パソコン,personal computer
パンチ,パンチ,punch
—,ホッチキス,stapler
—,セロテープ,"Scotch tape, clear adhesive tape"
—,けしゴマ,eraser
紙,かみ,paper
花,はな,"flower, blossom"
シャツ,シャツ,shirt
プレゼント,プレゼント,"present, gift"
荷物,にもつ,"baggage, parcel"
お金,おかね,money
切符,きっぷ,ticket
クリスマス,クリスマス,Christmas
父,ちち,(my) father
母,はは,(my) mother
お父さん,おとうさん,(someone else's) father
お母さん,おかあさん,(someone else's) mother
—,もう,already
—,まだ,not yet
—,これから,"from now on, soon"
—,～すてきですね,What a nice ~!
—,ごめんください,"Excuse me, Anybody home?, May I come in? (an expression used by a visitor)"
—,いらっしゃい,How nice of you to come (lit. Welcome)
—,どうぞおあがりください,Do come in
失礼します,しつれいします,"Thank you, May I? (lit. I'm afraid I'll be disturbing you)"
—,～はいかがですか,"Won't you have ~?, Would you like to have ~? (used when offering something)"
—,いただきます,"Thank you, I accept (said before starting to eat or drink)"
—,りょこう,"trip, tour"
—,りょこうをします,make a trip
お土産,おみやげ,"souvenir, present"
—,ヨーロッパ,Europe
—,スパイン,Spain
