会います,あいます,to meet
有難う,ありがとう,Thank you
有ります,あります,"have, exist (things)"
良い,いい,good
行きます,いきます,go
幾つ,いくつ,how many
医者,いしゃ,medical doctor
五つ,いつつ,five (used when counting things)
居ます,います,exist (people/animals)
妹さん,いもうとさん,(someone else's) younger sister
要ります,いります,need
?,おいくつ,how old (polite)
お母さん,おかあさん,(someone else's) mother
起きます,おきます,to get up \ to wake up
奥さん,おくさん,(someone else's) wife
お元気ですか,おげんきですか,How are you?
お父さん,おとうさん,(someone else's) father
弟さん,おとうとさん,(someone else's) younger brother
お兄さん,おにいさん,(someone else's) elder brother
お姉さん,おねえさん,(someone else's) elder sister
会社,かいしゃ,company \ workplace
会社員,かいしゃいん,company employee
買います,かいます,to buy
帰ります,かえります,"go home, return"
掛かります,かかります,take (referring to time or money)
書きます,かきます,to write
?,かします,"ধার দেওয়া" 
?,かります,"ধার নেওয়া"
聞きます,ききます,to listen
来ます,きます,come
今日,きょう,today
教師,きょうし,"teacher, instructor (Profession)"
教室,きょうしつ,classroom
切ります,きります,"cut, slice"
今朝,けさ,this morning
航空便,こうくうびん,airmail
九つ,ここのつ,nine (used when counting things)
?,こちら,"this way \ this place \ this person (formal for ここ, わたし, etc.)"
?,こちらこそよろしく,I am pleased to meet you too
?,こちらは～さんです,This is Mr.\Ms.
ご主人,ごしゅじん,(someone else's) husband
?,します,to do
社員,しゃいん,employee of a company
?,しゅじん,(my) husband (Polite)
時間,じかん,time
辞書,じしょ,dictionary
事務所,じむしょ,office
十四日,じゅうよっか,"fourteenth, fourteen days"
上手,じょうず,good at
吸います,すいます,to smoke
?,すみません,I am sorry
?,そう,so
?,そちら,that way \ that place \ that person (formal for そこ)
?,それから,"and, furthermore"
大変ですね,たいへんですね,"That’s tough, isn’t it?"
出来ます,できます,can
?,どう,how
?,どうぞよろしくおねがいします,Pleased to meet you
?,どうもありがとうございました,Thank you very much (for what you did).
?,どうもありがとうございます,Thank you very much
?,どうもすみません,Thank you
七つ,ななつ,seven (used when counting things)
何,なに,what
何,なん,what
何歳,なんさい,how old
何ですか,なんですか,What is it?
二十四日,にじゅうよっか,"twenty fourth, twenty four days"
?,にほん,Japan
日本語,にほんご,the Japanese language
飲みます,のみます,to drink
晩,ばん,evening \ night
一つ,ひとつ,one (used when counting things)
一人,ひとり,one person
一人で,ひとりで,"alone, by oneself"
二つ,ふたつ,two (used when counting things)
勉強,べんきょう,study
勉強します,べんきょうします,to study
毎晩,まいばん,every evening \ every night
三つ,みっつ,three (used when counting things)
見ます,みます,to see
六つ,むっつ,six (used when counting things)
野菜,やさい,vegetables
易しい,やさしい,easy
八つ,やっつ,eight (used when counting things)
四日,よっか,"fourth, four days"
四つ,よっつ,four (used when counting things)
読みます,よみます,to read
寮,りょう,dormitory
?,りょうり,"dish (cooked food), cooking"
?,りょこう,"trip, tour"
分かりました,わかりました,I understand
分かります,わかります,understand
?,エヤメール,airmail
〜回,～かい,~ times
?,～かい,~th floor
?,～さん,Mr.\Ms.
〜時間,～じかん,~ hours
?,～じん,a national of
?,～や～ など,"~, ~, and so on"
