おきます-2,おきた,put
ねます-2,ねた,to sleep \ to go to bed
はたらきます-1,はたらいた,to work
やすみます-1,やすんだ,to rest \ to take a break \ to take time off
べんきょうします-3,べんきょうした,to study
おわります-1,おわった,to finish \ to end
いきます-1,いった,go
きます-3,きた,come
かえります-1,かえった,"go home, return"
たべます-1,たべた,to eat
のみます-1,のんだ,to drink
すいます-1,すった,to smoke / to inhale
みます-2,みた,to see / to watch / to look at
ききます-1,きいた,to listen / to ask
よみます-1,よんだ,to read
かきます-1,かいた,to write
かいます-1,かった,to buy
とります-1,とった,"take, pass"
します-3,した,to do
あいます-1,あった,to meet
きります-1,きった,"cut, slice"
おくります-1,おくった,পাঠানো / উপহার দেওয়া
あげます-1,あげた,দেওয়া
もらいます-1,もらった,গ্রহণ করা
かします-3,かした,ধার দেওয়া
かります-2,かりた,ধার নেওয়া
おしえます-2,おしえた,tell
ならいます-1,ならった,শেখা
しつれいします-3,しつれいした,"Thank you, May I? (lit. I'm afraid I'll be disturbing you)"
いただきます-1,いただいた,"Thank you, I accept (said before starting to eat or drink)"
そろそろしつれいします-3,そろそろしつれいした,It's almost time to leave now
わかります-1,わかった,understand
あります-1,あった,"exist, be (referring to inanimate things)"
います-2,いた,"exist, be (referring to animate things)"
できます-3,でいた,can
いります-1,いった,"need, require"
ふります-2,ふりた,rain
かかります-1,かかった,take (referring to time or money)
あそびます-1,あそんだ,"enjoy oneself, play"
およぎます-1,およいだ,swim
むかえます-2,むかえた,"go to meet, welcome"
つかれます-1,つかれた,get tired
だします-3,だした,hand in
はいります-1,はいった,enter
でます-2,でた,graduate
けっこんします-3,けっこんした,"marry, get married"
かいものします-3,かいものした,do shopping
しょくじします-3,しょくじした,"have a meal, dine"
さんぽします-3,さんぽした,take a walk
つけます-1,つけた,turn on
けします-3,けした,turn off
しめます-2,しめた,"close, shut"
いそぎます-1,いそいだ,hurry
まちます-1,まった,wait
とめます-1,とめた,"stop, park"
もちます-1,もった,hold
よびます-1,よんだ,call
はなします-3,はなした,"speak, talk"
みせます-1,みせた,show
はじめます-1,はじめた,"start, begin"
コピーします-3,コピーした,copy
たちます-1,たった,stand up
すわります-1,すわった,sit down
つかいます-1,つかった,use
つくります-1,つくった,"make, produce"
うります-1,うった,sell
しります-1,しった,get to know
すみます-1,すんだ,be going to live
けんきゅうします-3,けんきゅうした,do research
すんでいます-1,すんでった,live
おもいだします-3,おもいだした,"remember, recollect"
のります-1,のった,"ride, get on"
おります-2,おりた,get off
のりかえます-2,のりかえた,"change (trains, etc.)"
いれます-1,いれた,"put in, insert"
やめます-1,やめた,"quit or retire from, stop, give up"
おします-3,おした,"press, push"
おぼえます-2,おぼえた,memorize
わすれます-1,わすれた,forget
なくします-3,なくした,lose
はらいます-1,はらった,pay
かえします-3,かえした,"give back, return"
でかけます-1,でかけた,go out
ぬぎます-1,ぬいだ,"take off (clothes, shoes, etc.)"
しんぱいします-3,しんぱいした,worry
ざんぎょうします-3,ざんぎょうした,work overtime
しゅっちょうします-3,しゅっちょうした,go on a business trip
くすりのみます-1,くすりのんだ,take medicine
できます-2,できた,"be able to, can"
あらいます-1,あらった,wash
ひきます-1,ひいた,"play (stringed instrument or piano, etc.)"
うたいます-1,うたった,sing
あつめます-1,あつめた,"collect, gather"
かえます-2,かえた,"exchange, change"
よやくします-3,よやくした,"reserve, book"
のぼります-1,のぼった,climb
とまります-1,とまった,stay
そうじします-3,そうじした,clean (a room)
せんたくします-3,せんたくした,wash (clothes)
れんしゅうします-3,れんしゅうした,practice
なります-1,なった,become
しらべます-1,しらべた,"check, investigate"
なおします-3,なおした,"repair, correct"
しゅうりします-3,しゅうりした,repair
でんわします-3,でんわした,to phone
