一つ,ひとつ,one (thing)
一人,ひとり,one person
日,ついたち,the first day of the month
一日,いちにち,one day
一緒,いっしょに,together
二つ,ふたつ,two (things)
二人,ふたり,two people
二日,ふつか,the second day of the month/two days
二月,にがつ,February
三つ,みっつ,three (things)
三日,みっか,the third day of the month/three days
三月,さんがつ,March
三年,さんねん,three years
山,やま,mountain
山川さん,やまかわさん,Mr./Ms. Yamakawa
山田さん,やまださん,Mr./Ms. Yamada
富士山,ふじさん,Mt. Fuji
川,かわ,river
川口さん,かわぐちさん,Mr./Ms. Kawaguchi
ナイル川,ナイルがわ,Nile River
目,め,eye/measure/sight
一つ目,ひとつめ,first one
目上,めうえ,superior/senior
目下,めした,subordinate/junior
目的,もくてき,purpose/goal
口,くち,mouth
入り口,いりぐち,entrance
出口,でぐち,exit
東口,ひがしぐち,east exit
人口,じんこう,population
人,ひと,person
一人,ひとり,one person
三人,さんにん,three people
人形,にんぎょう,doll/puppet
イギリス人,イギリスじん,British person
大人,おとな,adult
木,き,tree
木曜日,もくようび,Thursday
木綿,もめん,cotton
休み,やすみ,rest/holiday
休む,やすむ,to rest/to be absent
休日,きゅうじつ,holiday
有休,ゆうきゅう,paid leave
定休日,ていきゅうび,regular holiday
本,ほん,book
本当,ほんとう,truth/really
本棚,ほんだな,bookshelf
山本さん,やまもとさん,Mr./Ms. Yamamoto
日本,にほん/にっぽん,Japan
体,からだ,body
体力,たいりょく,physical strength
田んぼ,たんぽ,rice field
山田さん,やまださん,Mr./Ms. Yamada
田中さん,たなかさん,Mr./Ms. Tanaka
田舎,いなか,countryside/hometown
力,ちから,power/force/strength
男,おとこ,man
男の子,おとこのこ,boy
男の人,おとこのひと,man
男性,だんせい,male
長男,ちょうなん,eldest son
女,おんな,woman
女の子,おんなのこ,girl
彼女,かのじょ,she/girlfriend
女性,じょせい,female
女房,にょうぼう,wife
安い,やすい,cheap/inexpensive
円安,えんやす,cheap yen
安全な,あんぜんな,safe/secure
安心する,あんしんする,to be relieved/to feel safe
不安な,ふあんな,anxious/uneasy
