一,いち・ひと,one
二,に・ふた,two
三,さん・みっ,three
山,さん・やま,mountain
川,せん・かわ,river
目,もく・め,eye
口,こう・くち,mouth
人,じん/にん・ひと,person
木,ぼく/もく・き,tree
休,きゅう・やすみ,rest
本,ほん・もと,book/origin
体,たい・からだ,body
田,でん・た,rice field
力,りょく・ちから,strength/power
男,だん・おとこ,man
女,じょ・おんな,woman
安,あん・やすい,peace/cheap/safe
上,じょう・うえ,up/above
下,か/げ・した,down/below
中,ちゅう・なか,middle/inside
大,だい/たい・おおきい,large/big
太,たい・ふとい,thick/fat
小,しょう・ちいさい,small
少,しょう・すこし,few/little
入,にゅう・はいる,enter
出,しゅつ・でる,exit/go out
子,し・こ,child
学,がく・まなぶ,study/learning
四,し・よん,four
五,ご・いつ,five
六,ろく・むっ,six
七,しち・なな,seven
八,はち・やっ,eight
九,きゅう・ここの,nine
十,じゅう・とお,ten
古,こ・ふるい,old
