上,うえ,above/on
上げる,あげる,to raise/to lift
売上,うりあげ,sales
上がる,あがる,to rise/to go up
上手な,じょうずな,skillful/good at
下,した,under/below
靴下,くつした,socks
下がる,さがる,to hang down/to drop
下さい,まってください,please (do) (used with te-form of verb: 待って is 'waiting')
下手な,へたな,unskillful/poor at
廊下,ろうか,corridor/hallway
下宿する,げしゅくする,to board/to lodge
中,なか,inside
背中,せなか,back (body)
一日中,いちにちじゅう,all day long
電話中,でんわちゅう,during a phone call
途中,とちゅう,on the way/midway
大きい,おおきい,big/large
大勢,おおぜい,many people
大人,おとな,adult
大学,だいがく,university/college
大丈夫な,だいじょうぶな,safe/okay/all right
大切な,たいせつな,important
太い,ふとい,thick/fat
太る,ふとる,to gain weight
太陽,たいよう,sun
太平洋,たいへいよう,Pacific Ocean
小さい,ちいさい,small/little
小川さん,おがわさん,Mr./Ms. Ogawa
小鳥,ことり,small bird
小切手,こぎって,check (bank)
小学校,しょうがっこう,elementary school
少し,すこし,a little
少ない,すくない,few/little
少年,しょうねん,boy
少女,しょうじょ,girl
多少,たしょう,more or less/a little
入る,はいる,to enter
入れる,いれる,to put in
入り口,いりぐち,entrance
入学する,にゅうがくする,to enter school
輸入する,ゆにゅうする,to import
出る,でる,to exit/to leave
出口,でぐち,exit
出す,だす,to take out/to submit
思い出す,おもいだす,to recall/to remember
輸出する,ゆしゅつする,to export
子供,こども,child
男の子,おとこのこ,boy
女の子,おんなのこ,girl
お子さん,おこさん,child (polite)
帽子,ぼうし,hat/cap
学生,がくせい,student
大学,だいがく,university/college
留学生,りゅうがくせい,international student
学部,がくぶ,faculty/department
数学,すうがく,mathematics
学校,がっこう,school
四つ,よっつ,four (things)
四日,よっか,the fourth day of the month/four days
四,よん/し,four
四年,よねん,four years
四月,しがつ,April
五つ,いつつ,five (things)
五日,いつか,the fifth day of the month/five days
五,ご,five
五月,ごがつ,May
五年,ごねん,five years
六つ,むっつ,six (things)
六日,むいか,the sixth day of the month/six days
六月,ろくがつ,June
六年,ろくねん,six years
六分,ろっぷん,six minutes
七つ,ななつ,seven (things)
七日,なのか,the seventh day of the month/seven days
七,なな/しち,seven
七月,しちがつ,July
七年,ななねん/しちねん,seven years
八つ,やっつ,eight (things)
八日,ようか,the eighth day of the month/eight days
八月,はちがつ,August
八年,はちねん,eight years
八分,はっぷん,eight minutes
九つ,ここのつ,nine (things)
九日,ここのか,the ninth day of the month/nine days
九,きゅう/く,nine
九年,きゅうねん,nine years
九月,くがつ,September
十,とお,ten (things)
十日,とおか,the tenth day of the month/ten days
十月,じゅうがつ,October
十分な,じゅうぶんな,enough/sufficient
十分,じゅっぷん,ten minutes
二十日,はつか,the twentieth day of the month/twenty days
二十歳,はたち,twenty years old
古い,ふるい,old (not for people)
中古車,ちゅうこしゃ,used car
