百,ひゃく・もも,hundred
千,せん・ち,thousand
万,まん・よろず,ten thousand
円,えん・まる,yen/circle
日,にち・ひ,day/sun
月,げつ・つき,moon/month
明,めい・あかるい,bright
立,りつ・たつ,stand
音,おん・おと,sound
暗,あん・くらい,dark
火,か・ひ,fire
水,すい・みず,water
土,ど・つち,earth/soil
王,おう・-,king/jade
国,こく・くに,country
玉,ぎょく・たま,jewel/ball
全,ぜん・まったく,whole/all
金,きん・かね,gold/money
工,こう・-,construction/work
左,さ・ひだり,left
右,う・みぎ,right
友,ゆう・とも,friend
何,か・なに/なん,what
手,しゅ・て,hand
刀,とう・かたな,sword/knife
切,せつ・きる,cut
分,ぶん/ふん・わける,minute/divide
今,こん・いま,now
半,はん・なかば,half
止,し・とまる/やめる,stop
正,せい・ただしい,correct
歩,ほ・あるく,walk
足,そく・あし,foot/leg
走,そう・はしる,run
起,き・おきる,get up
夕,せき・ゆう,evening
外,がい・そと,outside
多,た・おおい,many
名,めい・な,name
夜,や・よる,night
生,せい・いきる,life/to live
