百,ひゃく,hundred
三百,さんびゃく,three hundred
六百,ろっぴゃく,six hundred
八百,はっぴゃく,eight hundred
八百屋,やおや,greengrocer/vegetable store
千,せん,thousand
千円,せんえん,one thousand yen
三千,さんぜん,three thousand
万,まん,ten thousand
百万円,ひゃくまんえん,one million yen
万年筆,まんねんひつ,fountain pen
円い,まるい,round
円,えん,yen/circle
千円,せんえん,one thousand yen
三千円,さんぜんえん,three thousand yen
一万円,いちまんえん,ten thousand yen
円高,えんだか,strong yen
日,ひ,day/sun
木曜日,もくようび,Thursday
二日,ふつか,the second day of the month/two days
毎日,まいにち,every day
日記,にっき,diary
日本,にほん/にっぽん,Japan
今日,きょう,today
昨日,きのう,yesterday
明日,あした/あす,tomorrow
月,つき,moon/month
一月,いちがつ,January
月曜日,げつようび,Monday
今月,こんげつ,this month
先月,せんげつ,last month
来月,らいげつ,next month
再来月,さらいげつ,the month after next
一ヶ月,いっかげつ,one month
明るい,あかるい,bright
明日,あした/あす,tomorrow
説明する,せつめいする,to explain
立つ,たつ,to stand
立てる,たてる,to stand (something) up/to build
国立の,こくりつの,national
独立する,どくりつする,to become independent
音,おと,sound
音楽,おんがく,music
発音,はつおん,pronunciation
暗い,くらい,dark
暗室,あんしつ,darkroom
火,ひ,fire
火曜日,かようび,Tuesday
花火,はなび,fireworks
火事,かじ,fire (conflagration)
火山,かざん,volcano
水,みず,water
水曜日,すいようび,Wednesday
水道,すいどう,water supply/waterworks
水泳,すいえい,swimming
土,つち,soil/earth
土曜日,どようび,Saturday
土地,とち,land/plot of land
お土産,おみやげ,souvenir
国,くに,country
外国,がいこく,foreign country
外国人,がいこくじん,foreigner
全部,ぜんぶ,all/entirety
全然,ぜんぜん,not at all (with negative)
全員,ぜんいん,all members/everyone
お金,おかね,money
お金持ち,おかねもち,rich person
金,きん,gold
金曜日,きんようび,Friday
大工,だいく,carpenter
工場,こうじょう,factory
工業,こうぎょう,industry
工学,こうがく,engineering
人工の,じんこうの,artificial/man-made
左,ひだり,left
左手,ひだりて,left hand
左側,ひだりがわ,left side
左きき,ひだりきき,left-handedness
左折する,させつする,to turn left
右,みぎ,right
右手,みぎて,right hand
右側,みぎがわ,right side
右折する,うせつする,to turn right
左右,さゆう,left and right/influence
友達,ともだち,friend
友人,ゆうじん,friend
親友,しんゆう,close friend/best friend
友情,ゆうじょう,friendship
