何,なに/なん,what
何人,なにじん,what nationality
何人,なんにん,how many people
何年,なんねん,what year/how many years
何時,なんじ,what time
手,て,hand
手紙,てがみ,letter
手伝う,てつだう,to help
手袋,てぶくろ,gloves
運転手,うんてんしゅ,driver
上手な,じょうずな,skillful/good at
下手な,へたな,unskillful/poor at
切る,きる,to cut
切手,きって,postage stamp
切符,きっぷ,ticket
大切な,たいせつな,important
親切な,しんせつな,kind
分かる,わかる,to understand
分ける,わける,to divide
五分,ごふん,five minutes
二十分,にじゅっぷん,twenty minutes
半分,はんぶん,half
十分な,じゅうぶんな,enough/sufficient
今,いま,now
今晩,こんばん,tonight/this evening
今年,ことし,this year
今朝,けさ,this morning
今日,きょう,today
半分,はんぶん,half
三時半,さんじはん,half past three
半年,はんとし,half a year
前半,ぜんはん,first half
後半,こうはん,second half
止まる,とまる,to stop (intransitive)
止める,とめる,to stop (transitive)
通行止,つうこうどめ,closed to traffic
中止する,ちゅうしする,to cancel/to suspend
正しい,ただしい,correct/right
正月,おしょうがつ,New Year's Day/season
正確な,せいかくな,accurate/precise
歩く,あるく,to walk
歩道,ほどう,sidewalk
歩行者,ほこうしゃ,pedestrian
散歩する,さんぽする,to take a walk
足,あし,foot/leg
足す,たす,to add
足りる,たりる,to be enough/to be sufficient
二足,にそく,two pairs (of footwear/socks)
不足する,ふそくする,to lack/to be insufficient
走る,はしる,to run
走者,そうしゃ,runner
起きる,おきる,to get up/to happen
早起きする,はやおきする,to wake up early
起こす,おこす,to wake (someone) up
夕方,ゆうがた,evening
夕飯,ゆうはん,dinner
夕食,ゆうしょく,dinner
外国,がいこく,foreign country
外,そと,outside
他の,ほかの,other (derived from 外/ほか)
海外,かいがい,overseas/abroad
郊外,こうがい,suburb/outskirts
外出する,がいしゅつする,to go out
時間外,じかんがい,outside of working hours/overtime
多い,おおい,many/much
多分,たぶん,probably
多数,たすう,many/great number
多少,たしょう,more or less/a little
名前,なまえ,name
有名な,ゆうめいな,famous
名所,めいしょ,famous place
名物,めいぶつ,local specialty
名字,みょうじ,surname/family name
夜,よる,night
今夜,こんや,tonight
夜食,やしょく,late-night snack
