牛,うし,cow/bull
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,milk
午前,ごぜん,A.M./morning
午後,ごご,P.M./afternoon
年,とし,year/age
今年,ことし,this year
年上,としうえ,older/senior
年下,としした,younger/junior
去年,きょねん,last year
来年,らいねん,next year
再来年,さらいねん,the year after next
生年月日,せいねんがっぴ,date of birth
前,まえ,before/front
名前,なまえ,name
三年前,さんねんまえ,three years ago
午前,ごぜん,A.M./morning
前半,ぜんはん,first half
後ろ,うしろ,behind/back
後で,あとで,later
五年後,ごねんご,five years later
最後,さいご,last/final
後半,こうはん,second half
高い,たかい,high/expensive
円高,えんだか,strong yen
高校,こうこう,high school
高校生,こうこうせい,high school student
高速,こうそく,high speed
最高,さいこう,highest/best
銀,ぎん,silver
銀行,ぎんこう,bank
銀座,ぎんざ,Ginza (place name)
食べる,たべる,to eat
食べ物,たべもの,food
食堂,しょくどう,cafeteria/dining hall
食事する,しょくじする,to have a meal
食料品,しょくりょうひん,groceries/foodstuff
ご飯,ごはん,meal/cooked rice
朝ご飯,あさごはん,breakfast
昼ご飯,ひるごはん,lunch
晩ご飯,ばんごはん,dinner
夕飯,ゆうはん,dinner
飲む,のむ,to drink
飲み物,のみもの,drink/beverage
飲み水,のみみず,drinking water
飲料水,いんりょうすい,drinking water
飲酒運転,いんしゅうんてん,drunk driving
白,しろ,white
白い,しろい,white
白馬,はくば,white horse
赤い,あかい,red
赤ん坊,あかんぼう,baby/infant
赤ちゃん,あかちゃん,baby/infant
赤字,あかじ,deficit/in the red
赤十字,せきじゅうじ,Red Cross
青い,あおい,blue
青信号,あおしんごう,green light
青年,せいねん,youth
言う,いう,to say
言葉,ことば,word/language
言語,げんご,language
伝言する,でんごんする,to leave a message
話,はなし,talk/story
話す,はなす,to talk/to speak
電話,でんわ,telephone
会話,かいわ,conversation
世話する,せわする,to take care of
英語,えいご,English language
中国語,ちゅうごくご,Chinese language
言語,げんご,language
母語,ほご,mother tongue
売る,うる,to sell
売り場,うりば,selling place/counter
売り切れ,うりきれ,sold out
売店,ばいてん,stand/kiosk
読む,よむ,to read
読書,どくしょ,reading (activity)
読者,どくしゃ,reader
書く,かく,to write
書道,しょどう,calligraphy
書店,しょてん,bookstore
和書,わしょ,Japanese book
洋書,ようしょ,Western book
