新しい,あたらしい,new
新聞,しんぶん,newspaper/news
新車,しんしゃ,new car
新年,しんねん,New Year
新人,しんじん,newcomer/new face
馬,うま,horse
馬車,ばしゃ,carriage
駅,えき,station
駅員,えきいん,station attendant
駅長,えきちょう,station master
魚,さかな,fish
魚屋,さかなや,fish store
焼き魚,やきざかな,grilled fish
米,おこめ,rice
南米,なんべい,South America
米国,べいこく,USA/America
新米,しんまい,new rice/novice
来る,くる,to come
来週,らいしゅう,next week
来年,らいねん,next year
将来,しょうらい,future
来日する,らいにちする,to visit Japan
雨,あめ,rain
大雨,おおあめ,heavy rain
梅雨,つゆ/ばいう,rainy season/tsuyu
電気,でんき,electricity/light
電車,でんしゃ,train
電話,でんわ,telephone
電報,でんぽう,telegram
電灯,でんとう,electric light
天気,てんき,weather
天気予報,てんきよほう,weather forecast
気分,きぶん,feeling/mood
気持ち,きもち,feeling/sensation
人気がある,にんきがある,to be popular
車,くるま,car
電車,でんしゃ,train
駐車場,ちゅうしゃじょう,parking lot
空車,くうしゃ,empty car/taxi for hire
満車,まんしゃ,full (parking lot)
空,そら,sky
空気,くうき,air/atmosphere
空港,くうこう,airport
会社,かいしゃ,company
社会,しゃかい,society
社長,しゃちょう,company president/CEO
新聞社,しんぶんしゃ,newspaper company
神社,じんじゃ,Shinto shrine
内田さん,うちださん,Mr./Ms. Uchida
家内,かない,my wife
以内,いない,within
社内,しゃない,within the company
国内,こくない,domestic/within the country
内科,ないか,internal medicine
長い,ながい,long
社長,しゃちょう,company president/CEO
校長,こうちょう,school principal
長男,ちょうなん,eldest son
長女,ちょうじょ,eldest daughter
学校,がっこう,school
小学校,しょうがっこう,elementary school
中学校,ちゅうがっこう,middle/junior high school
高校,こうこう,high school
高校生,こうこうせい,high school student
会う,あう,to meet
会社,かいしゃ,company
会議,かいぎ,meeting/conference
会話,かいわ,conversation
展覧会,てんらんかい,exhibition/show
寺,おてら,temple (Buddhist)
東大寺,とうだいじ,Tōdai-ji Temple
待つ,まつ,to wait
待合室,まちあいしつ,waiting room
招待する,しょうたいする,to invite
期待する,きたいする,to expect/hope for
時々,ときどき,sometimes/occasionally
時計,とけい,clock/watch
時間,じかん,time/hour/period
四時,よじ,four o'clock
時代,じだい,era/age/period
