持つ,もつ,to hold/to have
気持ち,きもち,feeling/sensation
持ち物,もちもの,one's belongings
持ち帰り,もちかえり,take-out
特に,とくに,especially
特別な,とくべつな,special
特急,とっきゅう,limited express
買う,かう,to buy
買い物,かいもの,shopping
店員,てんいん,store clerk
会社員,かいしゃいん,company employee
会員,かいいん,member
定員,ていいん,fixed number of people/capacity
新入社員,しんにゅうしゃいん,new employee
質問する,しつもんする,to ask a question
質,しつ,quality/matter
店,みせ,store/shop
店員,てんいん,store clerk
店内,てんない,in the store
開ける,あける,to open (transitive)
開く,あく,to open (intransitive)
開く,ひらく,to open/to hold (an event)
開店時間,かいてんじかん,opening hours
閉める,しめる,to close (transitive)
閉まる,しまる,to close (intransitive)
閉じる,とじる,to close (a book/eyes)
閉店する,へいてんする,to close a shop
問う,とう,to ask/to question
問い合わせ,といあわせ,enquiry
質問する,しつもんする,to ask a question
問題,もんだい,problem/question
訪問する,ほうもんする,to visit
自分,じぶん,myself/yourself/oneself
自由な,じゆうな,free
自動ドア,じどうドア,automatic door
自宅,じたく,one's own house
自信,じしん,confidence
首,くび,neck
首相,しゅしょう,Prime Minister
道,みち,road/way
水道,すいどう,water supply/waterworks
道具,どうぐ,tool/implement
歩道,ほどう,sidewalk
車道,しゃどう,roadway
高速道路,こうそくどうろ,expressway/highway
毎週,まいしゅう,every week
来週,らいしゅう,next week
先週,せんしゅう,last week
一週間,いっしゅうかん,one week
週末,しゅうまつ,weekend
重い,おもい,heavy
体重,たいじゅう,body weight
重大な,じゅうだいな,serious/important
動く,うごく,to move (intransitive)
自動車,じどうしゃ,automobile/car
動物,どうぶつ,animal
動物園,どうぶつえん,zoo
運動する,うんどうする,to exercise
働く,はたらく,to work
労働,ろうどう,labor
早い,はやい,early/fast
早く,はやく,early/quickly
花,はな,flower
花見,はなみ,flower viewing
花火,はなび,fireworks
花瓶,かびん,flower vase
草,くさ,grass
草原,そうげん,grassland/meadow
お茶,おちゃ,tea
紅茶,こうちゃ,black tea
日本茶,にほんちゃ,Japanese tea
茶色,ちゃいろ,brown
喫茶店,きっさてん,coffee shop/cafe
