たべます,eat,tabemasu
のみます,drink,nomimasu
すいます,smoke,suimasu
たばこをすいます,smoke a cigarette,tabakoosuimasu
みます,"see, look at, watch",mimasu
ききます,"hear, listen",kikimasu
よみます,read,yomimasu
かきます,"write, draw, paint",kakimasu
かいます,buy,kaimasu
とります,take (a photograph),torimasu
しゃしんをとります,take a picture,shashinotorimasu
します,do,shimasu
あいます,meet,aimasu
ともだちをあいます,meet a friend,tomodachioaimasu
ごはん,"a meal, cooked rice",gohan
あさごはん,breakfast,asagohan
ひるごはん,lunch,hirugohan
ばんごはん,supper,bangohan
パン,bread,pan
たまご,egg,tamago
にく,meat,niku
さかな,fish,sakana
やさい,vegetable,yasai
くだもの,fruit,kudamono
みず,water,mizu
おちゃ,"tea, green tea",ocha
こうちゃ,black tea,koucha
ぎゅうにゅう,milk,gyuunyuu
ミリク,milk,miriku
ジュース,juice,jūsu
ビール,beer,bīru
さけ,"alcohol, Japanese rice wine",sake
ビデオ,video,bideo
えいが,movie,eiga
てがみ,letter,tegami
レポート,report,repōto
しゃしん,photograph,shashin
みせ,"store, shop",mise
レストラン,restaurant,resutoran
にわ,garden,niwa
しゅくだい,homework,shukudai
しゅくだいをします,do homework,shukudaioshimasu
テニス,tennis,tenisu
サッカー,"soccer, football",sakkā
サッカーをします,play soccer,sakkāoshimasu
はなみ,cherry-blossom viewing,hanami
はなみをします,go cherry-blossom viewing,hanamioshimasu
なに,what,nani
いっしょに,together,isshoni
ちょっと,"a little while, a little bit",chotto
いつも,"always, usually",itsumo
ときどき,sometimes,tokidoki
それから,"after that, and then",sorekara
ええ,yes,ee
いいですね,That's good.,iidesune
わかりました,I see,wakarimashita
なんですか,Yes?,nandesuka
じゃ、またあした,See you tomorrow,ja、mataashita
