ハンサム,handsome,hansamu
きれい,"beautiful, clean",kirei
しずか,quiet,shizuka
にぎやか,lively,nigiyaka
ゆうめい,famous,yuumei
しんせつ,kind,shinsetsu
げんき,"healthy, sound, cheerful",genki
ひま,free (time),hima
べんり,convenient,benri
すてき,"fine, nice, wonderful",suteki
おおきい,"big, large",ookii
ちいさい,"small, little",chiisai
あたらしい,new,atarashii
ふるい,old (not of age),furui
いい,good,ii
わるい,bad,warui
あつい,hot,atsui
あつい,hot,atsui
さむい,cold (referring to temperature),samui
つめたい,"cold (referring to touch, as a drink)",tsumetai
むずかしい,difficult,muzukashii
やさしい,easy,yasashii
たかい,"expensive, tall, high",takai
やすい,inexpensive,yasui
ひくい,low,hikui
おもしろい,interesting,omoshiroi
おいしい,"delicious, tasty",oishii
いそがしい,busy,isogashii
たのしい,enjoyable,tanoshii
しろい,white,shiroi
くろい,black,kuroi
あかい,red,akai
あおい,blue,aoi
さくら,cherry (blossom),sakura
やま,mountain,yama
まち,"town, city",machi
たべもの,food,tabemono
くるま,"car, vehicle",kuruma
ところ,place,tokoro
りょう,dormitory,ryou
べんきょう,study,benkyou
せいかつ,life,seikatsu
しごと,"work, business",shigoto
しごとをします,"do one's job, work",shigotooshimasu
どう,how,dou
どんな～,what kind of ~,donna～
どれ,which one (of three or more),dore
とても,very,totemo
あまり,not so (used with negatives),amari
そして,and (used to connect sentences),soshite
～が、～,"~, but ~",～ga、～
おげんきですか,How are you?,ogenkidesuka
そうですね,"Well, let me see (pausing)",soudesune
にほんのせいかつになれましたか,Have you got used to the life in Japan?,nihonnoseikatsuninaremashitaka
～もいっぱいいかがですか,Won't you have another cup of ~?,～moippaiikagadesuka
いいえ、けっこうです,"No, thank you",iie、kekkoudesu
もう～ですね,It's already ~ (isn't it),mou～desune
そろそろしつれいします,It's almost time to leave now,sorosoroshitsureishimasu
またいらっしゃってください,Please come again,matairasshattekudasai
