分かります,わかります,understand
有ります,あります,"have, exist (things)"
居ます,います,exist (people or animals)
出来ます,できます,can
要ります,いります,need
降ります,ふります,"fall (rain, snow)"
好き,すき,like
嫌い,きらい,dislike
上手,じょうず,good at
下手,へた,poor at
?,りょうり,"dish (cooked food), cooking"
飲み物,のみもの,drinks
スポーツ,スポーツ,sport
?,スポーツをします,play sports
野球,やきゅう,baseball
?,やきゅうをします,play baseball
ダンス,ダンス,dance
?,ダンスをします,doing dance
?,おんがく,music
歌,うた,song
クラシック,クラシック,classical music
ジャズ,ジャズ,jazz
コンサート,コンサート,concert
?,カラオケ,karaoke
歌舞伎,かぶき,Kabuki (traditional Japanese musical drama)
絵,え,"picture, drawing"
?,じ,"letter, character"
漢字,かんじ,Chinese characters
ひらがな,ひらがな,Hiragana script
?,かたかな,Katakana script
ローマ字,ローマじ,the Roman alpahabet
?,こまかいおかね,small change \ coins
?,チケット,ticket (Katakana)
時間,じかん,time
用事,ようじ,"something to do, errand"
約束,やくそく,"appointment, promise"
ご主人,ごしゅじん,(someone else's) husband
?,おっと,(my) husband (casual)
?,しゅじん,(my) husband (Polite)
奥さん,おくさん,(someone else's) wife
?,つま,(my) wife (casual)
?,かない,(my) wife (Polite)
子供,こども,child
?,よく,"well, much"
?,だいたい,"mostly, roughly"
?,たくさん,"many, much"
少し,すこし,"a little, a few"
全然,ぜんぜん,not at all (used with negatives)
早く,はやく,"early, quickly, fast"
早く,はやく,"early, quickly, fast"
〜から,～から,because ~
?,どうして,why
アルバイト,アルバイト,part-time job
残念です,ざんねんです,I'm sorry (to hear that) or That's a pity
?,すみません,I am sorry
?,もしもし,hello (used on phone)
?,ああ,oh
?,いっしょうにいかがですか,Won't you join me (us)?
?,～はちょっと,~ is a bit difficult (a euphemism used when declining an invitation)
駄目ですか,だめですか,So you cannot (come)?
?,また こんど おねがい します,"Please ask me again some other time (used when refusing an invitation indirectly, considering someone's feelings"
