こどもがいます,have a child,kodomogaimasu
にほんにいます,"stay, be in Japan",nihonniimasu
かかります,take (referring to time or money),kakarimasu
かいしゃをやすみます,take a day off work,kaishaoyasumimasu
ひとつ,one (used when counting things),hitotsu
ふたつ,two (used when counting things),futatsu
みっつ,three (used when counting things),mittsu
よっつ,four (used when counting things),yottsu
いつつ,five (used when counting things),itsutsu
むっつ,six (used when counting things),muttsu
ななつ,seven (used when counting things),nanatsu
やっつ,eight (used when counting things),yattsu
ここのつ,nine (used when counting things),kokonotsu
いくつ,how many,ikutsu
ひとり,one person,hitori
ふたり,two people,futari
～にん,~ people,～nin
～だい,"(counter for machines, cars, etc.)",～dai
～まい,"(counter for paper, stamps, etc.)",～mai
～かい,~ times,～kai
りんご,apple,ringo
みかん,mandarin orange,mikan
サンドイッチ,sandwich,sandoicchi
カレー,curry,karē
カレーライス,curry and rice,karēraisu
アイスクリーム,ice cream,aisukurīmu
きって,postage stamp,kitte
はがき,post card,hagaki
ふうとう,envelope,fuutou
そくたつ,special delivery,sokutatsu
かきとめ,registered mail,kakitome
こうくうびん,airmail,koukuubin
エヤメール,airmail,eyamēru
ふなびん,sea mail,funabin
りょうしん,parents,ryoushin
きょうだい,brothers and sisters,kyoudai
あに,(my) elder brother,ani
おにいさん,(someone else's) elder brother,oniisan
あね,(my) elder sister,ane
おねえさん,(someone else's) elder sister,oneesan
おとうと,(my) younger brother,otouto
おとうとさん,(someone else's) younger brother,otoutosan
いもうと,(my) younger sister,imouto
いもうとさん,(someone else's) younger sister,imoutosan
がいこく,foreign country,gaikoku
～じかん,~ hours,～jikan
～しゅうかん,~ weeks,～shuukan
～かげつ,~ months,～kagetsu
～ねん,~ years,～nen
～ぐらい,about ~,～gurai
どのくらい,how long,donokurai
ぜんぶで,in total,zembude
みんな,"all, everything",minna
～だけ,only ~,～dake
いらしゃいませ,"Welcome, May I help you? (a greeting to a customer or a guest entering a shop, etc.)",irashaimase
いいてんきですね,"Nice weather, isn't it?",iitenkidesune
おでかけですか,Are you going out?,odekakedesuka
ちょっと～まで,I'm just going to ~,chotto～made
いっていらっしゃい,So long. (lit. Go and come back.),itteirasshai
いってまいります,So long. (lit. I'm going and coming back.),ittemairimasu
それから,"and, furthermore",sorekara
オーストラリア,Australia,ōsutoraria
