簡単,かんたん,"easy, simple"
近い,ちかい,near
遠い,とおい,far
速い,はやい,"fast, early"
速い,はやい,"fast, early"
遅い,おそい,"slow, late"
多い,おおい,"many, much"
?,ひとがおおい,many people
少ない,すくない,"few, a little"
?,ひとがすくない,few people
暖かい,あたたかい,warm
暖かい,あたたかい,warm
涼しい,すずしい,cool
甘い,あまい,sweet
辛い,からい,"hot (taste), spicy"
重い,おもい,heavy
軽い,かるい,light (of weight)
?,コーヒーがいい,prefer coffee
季節,きせつ,season
春,はる,spring
夏,なつ,summer
秋,あき,"autumn, fall"
冬,ふゆ,winter
天気,てんき,weather
雨,あめ,"rain, rainy"
雪,ゆき,"snow, snowy"
曇り,くもり,cloudy
ホテル,ホテル,hotel
空港,くうこう,airport
海,うみ,"sea, ocean"
世界,せかい,world
?,パーティー,party
祭り,まつり,festival
試験,しけん,examination
すき焼き,すきやき,sukiyaki (beef and vegetables hot pot)
刺身,さしみ,sashimi (sliced raw fish)
寿司,すし,sushi (vinagered rice topped with raw fish)
天ぷら,てんぷら,tempura (seafood and vegetables deep fried in batter)
生け花,いけばな,flower arrangement
?,いけばなをします,practice flower arrangement
紅葉,もみじ,"maple, red leaves of autumn"
?,どちら,which one (between two things)
?,どちらも,both
?,ずっと,by far
初めて,はじめて,for the first time
只今,ただいま,I'm home
お帰りなさい,おかえりなさい,Welcome home
?,すごいですね,That's amazing
?,でも,but
疲れました,つかれました,(I'm) tired
?,ぎおんまつり,"the Gion Festival, the most famous festival in Kyoto"
?,ホンコン,Hong Kong
?,シンガポール,Singapore
