遊びます,あそびます,"enjoy oneself, play"
泳ぎます,およぎます,swim
迎えます,むかえます,"go to meet, welcome"
疲れます,つかれます,get tired
出します,だします,send
?,てがみをだします,send a letter
入ります,はいります,enter
?,きっさてんにはいります,enter a coffee shop
出ます,でます,go out
?,きっさてんをでます,go out of a coffee shop
結婚します,けっこんします,"marry, get married"
買い物します,かいものします,do shopping
食事します,しょくじします,"have a meal, dine"
散歩します,さんぽします,take a walk
?,こうえんをさんぽします,take a walk in a park
大変,たいへん,"hard, tough, severe, awful"
欲しい,ほしい,want (something)
寂しい,さびしい,lonely
広い,ひろい,"wide, spacious"
狭い,せまい,"narrow, small (room, etc.)"
市役所,しやくしょ,"municipal office, city hall"
プール,プール,swimming pool
川,かわ,river
経済,けいざい,economy
美術,びじゅつ,fine arts
釣り,つり,fishing
?,つりをします,"fish, angle"
スキー,スキー,skiing
?,スキーをします,ski
会議,かいぎ,"meeting, conference"
?,かいぎをします,hold a conference
登録,とうろく,registration
?,とうろくをします,register
週末,しゅうまつ,weekend
〜頃,～ごろ,about (time)
何か,なにか,something
何処か,どこか,"somewhere, some place"
お腹が空きました,おなかがすきました,(I'm) hungry
お腹が一杯です,おなかがいっぱいです,(I'm) full
喉が渇きました,のどがかわきました,(I'm) thirsty
?,そうですね,I agree with you
?,そうしましょう,Let's do that (used when agreeing to someone's suggestion)
ご注文は,ごちゅうもんは,May I take your order?
定食,ていしょく,set meal
牛丼,ぎゅうどん,bowl of rice topped with beef
少々お待ちください,しょうしょうおまちください,Please wait a moment
別々に,べつべつに,separately
?,ロシア,Russia
