付けます,つけます,turn on
消します,けします,turn off
?,あけます,open
閉めます,しめます,"close, shut"
急ぎます,いそぎます,hurry
待ちます,まちます,wait
止めます,とめます,"stop, park"
曲がります,まがります,turn
?,みぎへまがります,turn to the right
持ちます,もちます,hold
取ります,とります,"take, pass"
手伝います,てつだいます,help (with a task)
呼びます,よびます,call
話します,はなします,"speak, talk"
見せます,みせます,show
教えます,おしえます,"tell,teach,instruct"
?,じゅうしょをおしえます,tell an address
始めます,はじめます,"start, begin"
降ります,ふります,fall (rain or snow)
?,あめがふります,rain
?,コピーします,copy
?,エアコン,air conditioner
?,パスポート,passport
名前,なまえ,name
住所,じゅうしょ,address
地図,ちず,map
塩,しお,salt
砂糖,さとう,sugar
読み方,よみかた,"how to read, way of reading"
?,～かた,"how to ~, way of ~ing"
?,ゆっくり,"slowly, leisurely"
?,すぐ,immediately
?,また,again
後で,あとで,later
もう少し,もうすこし,a little more
もう〜,もう～,"~ more, another ~"
?,いいですよ,"Sure, Certainly"
?,さあ,right (used when encouraging some course of action)
?,あれ,Oh! (in surprise or in wonder)
?,しんごうをみぎへまがってください,Turn right at the signal
?,まっすぐ,straight
?,これでおねがいします,I'd like to pay with this
お釣り,おつり,change
