立ちます,たちます,stand up
座ります,すわります,sit down
使います,つかいます,use
置きます,おきます,put
作ります,つくります,"make, produce"
売ります,うります,sell
知ります,しります,get to know
?,しっています,know
?,しりません,don't know
住みます,すみます,be going to live
?,すんでいます,live
?,おおさかにすんでいます,live in Osaka
研究します,けんきゅうします,do research
資料,しりょう,"materials, data"
カタログ,カタログ,catalog
時刻表,じこくひょう,timetable
服,ふく,clothes
製品,せいひん,products
ソフト,ソフト,software
専門,せんもん,"speciality, field of study"
歯医者,はいしゃ,"dentist, dentist's"
床屋,とこや,"barber, barber's"
プレイガイド,プレイガイド,(theatre) ticket agency
独身,どくしん,"single, unmarried"
特に,とくに,especially
?,おもいだします,"remember, recollect"
?,ごかぞく,your family
?,いらっしゃいます,be (honorific equivalent of imasu)
?,こうこう,senior high school
