乗ります,のります,"ride, get on"
?,でんしゃにのります,"ride, get on a train"
降ります,おります,get off
?,でんしゃをおります,get off a train
乗り換えます,のりかえます,"change (trains, etc.)"
?,あびます,take 
?,シャワーをあびます,take a shower
入れます,いれます,"put in, insert"
出します,だします,"take out, hand in, submit, send"
?,おろします,withdraw (money)
?,おかねをおろします,withdraw money
入ります,はいります,enter
?,だいがくにはいります,enter a university
出ます,でます,graduate
?,だいがくをでます,graduate from a university
辞めます,やめます,"quit or retire from, stop, give up"
?,かいしゃをやめます,quit or retire from a company
押します,おします,"press, push"
?,はじめます,"begin, start"
終わります,おわります,finish
?,けんがくします,visit (a place) to study
?,でんわします,make a phone call
若い,わかい,young
長い,ながい,long
短い,みじかい,short
明るい,あかるい,"bright, light"
暗い,くらい,dark
体,からだ,body
頭,あたま,head
髪,かみ,hair
顔,かお,face
目,め,eye
耳,みみ,ear
口,くち,mouth
歯,は,tooth
お腹,おなか,stomach
足,あし,"leg, foot"
?,せ,height
?,せがたかい,tall (referring to person)
?,あたまがいい,"clever, smart"
サービス,サービス,service
ジョギング,ジョギング,jogging
?,ジョギングをします,jog
シャワー,シャワー,shower
緑,みどり,"green, greenery"
寺,てら,Buddhist temple
神社,じんじゃ,Shinto shrine
留学生,りゅうがくせい,foreign student
?,～ばん,number ~
?,どうやって,"in what way, how"
?,どの～,which ~ (used for three or more)
?,いいえまだまだです,"No, I still have a long way to go"
?,おひきだしですか,Are you making a withdrawl?
?,まず,first of all
?,キャッシュカード,cash dispensing card
?,あんしょうばんごう,"personal identification number, PIN"
?,つぎに,"next, as a next step"
?,きんがく,amount of money
?,かくにん,confirmation
?,かくにんします,confirm
?,ボタン,button
?,アジア,Asia
?,バンドン,Bandung (in Indonesia)
?,,Veracruz (in Mexico)
?,フランケン,Franken (in Germany)
?,ベトナム,Vietnam
?,フエ,Hue (in Vietnam)
