のぼります,climb,noborimasu
やまにのぼります,climb a mountain,yamaninoborimasu
とまります,stay,tomarimasu
ホテルにとまります,stay at a hotel,hoterunitomarimasu
そうじします,clean (a room),soujishimasu
せんたくします,wash (clothes),sentakushimasu
れんしゅうします,practice,renshuushimasu
なります,become,narimasu
ねむい,sleepy,nemui
つよい,strong,tsuyoi
よわい,weak,yowai
ちょうしがいい,be in good condition,choushigaii
ちょうしがわるい,be in bad condition,choushigawarui
ちょうし,condition,choushi
ゴルフ,golf,gorufu
ゴルフをします,play golf,gorufuoshimasu
すもう,sumo wrestling,sumou
パチンコ,pinball game,pachinko
パチンコをします,play pachinko,pachinkooshimasu
おちゃ,tea ceremony,ocha
ひ,"day, date",hi
いちど,once,ichido
いちども,"not once, never (used with negatives)",ichidomo
だんだん,gradually,dandan
もうすぐ,soon,mousugu
おかげさまで,Thank you (used when expressing gratitude for help received),okagesamade
かんぱい,"Bottoms up!, Cheers!",kampai
じつは,"actually, to tell the truth",jitsuha
ダイエット,diet,daietto
ダイエットをします,go on a diet,daiettooshimasu
なんかいも,many times,nankaimo
しかし,"but, however",shikashi
むり,"excessive, impossible",muri
からだにいい,good for one's health,karadaniii
ケーキ,cake,kēki
かつしかほくさい,(Katsushika Hokusai) famous Edo period wood block artist and painter (1760-1849),katsushikahokusai
