要ります,いります,"need, require"
?,ビザがいります,"need, require a visa"
調べます,しらべます,"check, investigate"
直します,なおします,"repair, correct"
修理します,しゅうりします,repair
電話します,でんわします,to phone
僕,ぼく,I (an infomal equivalent of watshi used by men)
君,きみ,you (an informal equivalent of anata used by men)
〜君,～くん,Mr. (an informal equivalent of ~san used by men)
?,うん,yes (an informal equivalent of hai)
?,ううん,no (an informal equivalent of iie)
?,サラレーマン,"salaried worker, office worker"
言葉,ことば,"word, language"
物価,ぶっか,commodity prices
着物,きもの,kimono (traditional Japanese attire)
?,ビザ,visa
初め,はじめ,the beginning
終わり,おわり,the end
?,こっち,"this way, this place (an informal equivalent of kochira)"
?,そっち,"this way, that place (an informal equivalent of sochira)"
?,あっち,"this way, that place over there (an informal equivalent of achira)"
?,どっち,"which one (between two things), which way, where (an informal equivalent of dochira)"
?,あのあいだ,the other day
皆で,みんなで,all together
?,～けど ~,but (an infomal equivalent of ga)
国へ帰るの,くにへかえるの,Are you going back to your country?
?,どうするの,What will you do?
?,どうしようかな,What shall I do?
?,よかったら,if you like
色々,いろいろ,various
