聞きます,ききます,ask
?,せんせいにききます,ask the teacher
回します,まわします,turn
引きます,ひきます,pull
変えます,かえます,change
触ります,さわります,touch
?,ドアにさわります,touch a door
出ます,でます,come out
?,おつりがでます,change comes out
動きます,うごきます,"move, work"
?,とけいがごきます,"a watch moves, works"
歩きます,あるきます,walk
?,みちをあるきます,walk along a road
渡ります,わたります,cross
?,はしをわたります,cross a bridge
気をつけます,きをつけます,"pay attention, take care"
?,くるまにきをつけます,pay attention to cars
引っ越しします,ひっこしします,move (house)
電気屋,でんきや,electrician
?,～や,person of ~ shop
サイズ,サイズ,size
音,おと,sound
機械,きかい,machine
摘み,つまみ,knob
故障,こしょう,breakdown
?,こしょうします,break down
道,みち,"road, way"
交差点,こうさてん,crossroad
信号,しんごう,traffic light
角,かど,corner
橋,はし,bridge
駐車場,ちゅうしゃじょう,"parking lot, car park"
?,ーめ,the -th (indicating order)
?,しょうがつ,New Year's Day
?,たてもの,building
?,がいこくじんとうろくしょう,alien registration card
