呉れます,くれます,give(me)
連れて行きます,つれていきます,take (someone)
連れて来ます,つれてきます,bring (someone)
送ります,おくります,"escort, go with"
?,ひとをおくります,"escort, go with someone"
紹介します,しょうかいします,introduce
案内します,あんないします,"show around, show the way"
説明します,せつめいします,explain
?,コーヒーをいれます,make coffee
?,おじいさん,"grandfather, old man"
?,おじいちゃん,"grandfather, old man"
?,おばあさん,"grandmother, old woman"
?,おばあちゃん,"grandmother, old woman"
準備,じゅんび,preparation
?,じゅんびします,prepare
?,いみ,meaning
お菓子,おかし,"sweets, snacks"
全部,ぜんぶ,all
自分で,じぶんで,by oneself
他に,ほかに,besides
ワゴン車,ワゴンしゃ,station wagon
?,べんとう,box lunch
