考えます,かんがえます,"think, consider"
着きます,つきます,arrive
?,えきにつきます,arrive at the station
留学します,りゅうがくします,study abroad
年を取ります,としをとります,grow old
田舎,いなか,"countryside, hometown"
大使館,たいしかん,embassy
グループ,グループ,group
チャンス,チャンス,chance
億,おく,hundred million
?,もし～たら,if ~
?,いくら ～でも,"however ~, even if ~"
転勤,てんきん,transfer
?,てんきんします,be transferred to another office
事,こと,"thing, matter"
?,いっぱいのみましょう,Let's have a drink together
?,いろいろおせわになりました,Thank you for everything you have done for me
頑張ります,がんばります,do one's best
どうぞお元気で,どうぞおげんきで,Best of luck (said when expecting a long separation)
