新,あたらしい,new
馬,うま,horse
駅,えき,station
魚,さかな,fish
米,こめ,rice
来,くる,come
雨,あめ,rain
雨,あめ,radical: rain
電,でん,electricity
気,き,spirit/energy
車,くるま,car/vehicle
空,そら,sky/empty
社,しゃ,company/shrine
内,うち,inside
長,ながい,long/leader
木,き,radical: tree
交,こう,radical: mix/cross
校,こう,school
会,あう,meet
寸,すん,radical: measurement
寺,てら,temple
待,まつ,wait
時,とき,time/hour
扌,て,radical: hand (variant)
持,もつ,hold
牛,うし,radical: cow (used in 特)
特,とく,special
貝,かい,radical: shell
買,かう,buy
員,いん,member
質,しつ,quality
自,じ,self
首,くび,neck
辶,しんにょう,radical: movement
道,みち,road/way
週,しゅう,week
重,おもい,heavy
動,うごく,move
働,はたらく,work
早,はやい,early
艹,くさかんむり,radical: grass
花,はな,flower
草,くさ,grass
茶,ちゃ,tea
