きます,こない,come
きます,こない,"put on (a shirt, etc.)"
かえります,かえらない,"go home, return"
たべます,たべない,to eat
のみます,のまない,to drink
すいます,すわない,to smoke / to inhale
みます,みない,to see / to watch / to look at
ききます,きかない,to listen / to ask; ask
よみます,よまない,to read
かきます,かかない,to write
かいます,かわない,to buy
とります,とらない,"to take / to take a photo; take, pass"
します,しない,to do
あいます,あわない,to meet
きります,きらない,"cut, slice"
おくります,おくらない,"to send / to give (as a gift); escort, go with"
あげます,あげない,to give
もらいます,もらわない,to receive
かします,かさない,to lend
かります,かりない,to borrow
おしえます,おしえない,to teach; tell
ならいます,ならわない,to learn
かけます,かけない,to make a telephone call
わかります,わからない,to understand
あります,ない,"to have / to exist (things); be held, take place"
います,いない,to exist (people/animals)
できます,できない,can
いります,いらない,need; require
ふります,ふらない,to fall (rain/snow)
かかります,かからない,to take (time/money)
あそびます,あそばない,"enjoy oneself, play"
およぎます,およがない,swim
むかえます,むかえない,"go to meet, welcome"
つかれます,つかれない,get tired
だします,ださない,"send; take out, withdraw"
はいります,はいらない,enter
でます,でない,go out; graduate; come out
けっこんします,けっこんしない,"marry, get married"
かいものします,かいものしない,do shopping
しょくじします,しょくじしない,"have a meal, dine"
さんぽします,さんぽしない,take a walk
つけます,つけない,turn on
けします,けさない,turn off
しめます,しめない,"close, shut"
いそぎます,いそがない,hurry
まちます,またない,wait
とめます,とめない,"stop, park"
まがります,まがらない,turn
もちます,もたない,hold
てつだいます,てつだわない,help (with a task)
よびます,よばない,call
はなします,はなさない,"speak, talk"
みせます,みせない,show
はじめます,はじめない,"start, begin"
たちます,たたない,stand up
すわります,すわらない,sit down
つかいます,つかわない,use
おきます,おかない,put
つくります,つくらない,"make, produce"
うります,うらない,sell
しります,しらない,get to know
すみます,すまない,live
けんきゅうします,けんきゅうしない,do research
のります,のらない,"ride, get on"
おります,おりない,get off
のりかえます,のりかえない,"change (trains, etc.)"
いれます,いれない,"put in, insert"
やめます,やめない,"quit or retire from, stop, give up"
おします,おさない,"press, push"
おぼえます,おぼえない,memorize
わすれます,わすれない,forget
なくします,なくさない,lose
はらいます,はらわない,pay
かえします,かえさない,"give back, return"
でかけます,でかけない,go out
ぬぎます,ぬがない,"take off (clothes, shoes, etc.)"
もっていきます,もっていかない,take (something)
もってきます,もってこない,bring (something)
しんぱいします,しんぱいしない,worry
ざんぎょうします,ざんぎょうしない,work overtime
しゅっちょうします,しゅっちょうしない,go on a business trip
あらいます,あらわない,wash
ひきます,ひかない,"play (stringed instrument or piano, etc.); pull"
うたいます,うたわない,sing
あつめます,あつめない,"collect, gather"
すてます,すてない,throw away
かえます,かえない,"exchange, change"
うんてんします,うんてんしない,drive
よやくします,よやくしない,"reserve, book"
けんがくします,けんがくしない,visit some place for study
のぼります,のぼらない,climb
とまります,とまらない,stay
そうじします,そうじしない,clean (a room)
せんたくします,せんたくしない,wash (clothes)
れんしゅうします,れんしゅうしない,practice
しらべます,しらべない,"check, investigate"
なおします,なおさない,"repair, correct"
しゅうりします,しゅうりしない,repair
でんわします,でんわしない,to phone
いいます,いわない,say
かちます,かたない,win
まけます,まけない,"lose, be beaten"
はきます,はかない,"put on (shoes, trousers, etc.)"
かぶります,かぶらない,"put on (a hat, etc)"
まわします,まわさない,turn
さわります,さわらない,touch
うごきます,うごかない,"move, work"
あるきます,あるかない,walk
わたります,わたらない,cross
きをつけます,きをつけない,"pay attention, take care"
ひっこしします,ひっこししない,move (house)
くれます,くれない,give(me)
つれていきます,つれていかない,take (someone)
つれてきます,つれてこない,bring (someone)
しょうかいします,しょうかいしない,introduce
あんないします,あんないしない,"show around, show the way"
せつめいします,せつめいしない,explain
かんがえます,かんがえない,"think, consider"
つきます,つかない,arrive
りゅうがくします,りゅうがくしない,study abroad
としをとります,としをとらない,grow old
がんばります,がんばらない,do one's best
あびます,あびない,to take a shower / to bathe
たります,たりない,to be enough / to suffice
