わたし,I,watashi
わたしたち,we,watashitachi
あんた,you,anta
あのひと,"that person, he, she",anohito
あのかた,"that person, he,she (more polite)",anokata
みなさん,"ladies and gentlemen, all of you",minasan
～さん,Mr. Ms. (title of respect addded to a name),～san
～ちゃん,(suffix often added to a child's name),～chan
～くん,(suffix often added to a boy's name),～kun
～じん,"(suffix meaning ""a national of"")",～jin
せんせい,"teacher, instructor (not used when referring to one's own job)",sensei
きょうし,"teacher, instructor",kyoushi
がくせい,student,gakusei
かいしゃいん,company employee,kaishain
しゃいん,employee of ~ company (used with a company name),shain
ぎんこういん,bank employee,ginkouin
いしゃ,medical doctor,isha
けんきゅうしゃ,"researcher, scholar",kenkyuusha
エンジニア,engineer,enjinia
だいがく,university,daigaku
びょういん,hospital,byouin
でんき,"electricity, light",denki
だれ,who,dare
どなた,who (polite),donata
～さい,~years old,～sai
なんさい,how old,nansai
おいくつ,how old (polite),oikutsu
はい,yes,hai
いいえ,no,iie
しつれいですが,"Excuse me, but",shitsureidesuga
おなまえは,May I have your name?,onamae-wa
はじめまして,How do you do? (introducing oneself for the first time),hajimemashite
どうぞよろしく（おねがいします）,Pleased to meet you,douzoyoroshiku（onegaishimasu）
こちらは～さんです,This is Mr. (Ms.) ~,kochiraha～sandesu
～からきました,I came (come) from ~,～karakimashita
アメリカ,U.S.A.,amerika
イギリス,U.K.,igirisu
インド,India,indo
インドネシア,Indonesia,indoneshia
かんこく,South Korea,kankoku
タイ,Thailand,tai
ちゅうごく,China,chuugoku
ドイツ,Germany,doitsu
にほん,Japan,nihon
フランス,France,furansu
ブラジル,Brazil,burajiru
