これ,this (thing here),kore
それ,that (thing near you),sore
あれ,that (thing over there),are
この～,"this ~, this ~ here",kono～
その～,"that ~, that ~ there",sono～
あの～,"that ~, that ~ over there",ano～
ほん,book,hon
じしょ,dictionary,jisho
ざっし,magazine,zasshi
しんぶん,newspaper,shimbun
ノート,notebook,nōto
てちょう,pocket notebook,techou
めいし,business card,meishi
カード,card,kādo
テレホンカード,telephone card,terehonkādo
えんぴつ,pencil,empitsu
ボールペン,ballpoint pen,bōrupen
シャップペンシル,mechanical pencil,shappupenshiru
かぎ,key,kagi
とけい,"watch, clock",tokei
かさ,umbrella,kasa
かばん,"bag, briefcase",kaban
テープ,(cassette) tape,tēpu
テープレコーダー,tape recorder,tēpurekōdā
テレビ,television,terebi
ラジオ,radio,rajio
カメラ,camera,kamera
コンピューター,computer,kompyūtā
じどうしゃ,"automobile, car",jidousha
つくえ,desk,tsukue
いす,chair,isu
チョコレート,chocolate,chokorēto
コーヒー,coffee,kōhī
えいご,the English language,eigo
にほんご,the Japanese language,nihongo
～ご,~ language,～go
なん,what,nan
そう,so,sou
ちがいます,"No it isn't, You are wrong",chigaimasu
そうですか,"I see, Is that so?",soudesuka
あのう,well (used to show hesitation),anou
ほんのきもちです,"It's nothing, It's a token of my gratitude",honnokimochidesu
どうぞ,"Please, Here you are (when offering someone something)",douzo
どうも,"Well, thanks",doumo
ありがとう,Thank you,arigatou
どうもありがとございます,Thank you very much,doumoarigatogozaimasu
これからおせわになります,I hope for your kind assistance hereafter,korekaraosewaninarimasu
こちらこそよろしく,I am pleased to meet you,kochirakosoyoroshiku
