おきます,"get up, wake up",okimasu
ねます,"sleep, go to bed",nemasu
はたらきます,work,hatarakimasu
やすみます,"take a rest, take a holiday",yasumimasu
べんきょうします,study,benkyoushimasu
おわります,finish,owarimasu
デパート,department store,depāto
ぎんこう,bank,ginkou
ゆうびんきょく,post office,yuubinkyoku
としょかん,library,toshokan
びじゅつかん,art museum,bijutsukan
いま,now,ima
～じ,~o'clock,～ji
～ふん,~ minute,～fun
はん,half,han
なんじ,what time,nanji
なんぷん,what minute,nampun
ごぜん,"a.m., morning",gozen
ごご,"p.m., afternoon",gogo
あさ,morning,asa
ひる,"daytime, noon",hiru
ばん,"night, evening",ban
よる,"night, evening",yoru
おととい,the day before yesterday,ototoi
きのう,yesterday,kinou
きょう,today,kyou
あした,tomorrow,ashita
あさって,the day after tomorrow,asatte
けさ,this morning,kesa
こんばん,"this evening, tonight",komban
やすみ,"rest, a holiday, a day off",yasumi
ひるやすみ,lunchtime,hiruyasumi
まいあさ,every morning,maiasa
まいばん,every evening,maiban
まいにち,every day,mainichi
げつようび,Monday,getsuyoubi
かようび,Tuesday,kayoubi
すいようび,Wednesday,suiyoubi
もくようび,Thursday,mokuyoubi
きんようび,Friday,kinyoubi
どようび,Saturday,doyoubi
にちようび,Sunday,nichiyoubi
なんようび,what day of the week,nanyoubi
ばんごう,number,bangou
なんばん,what number,namban
～から,from ~,～kara
～まで,"up to ~, until ~",～made
～と～,and (used to connect nouns),～to～
そちら,your place,sochira
たいへんですね,"That's tough, isn't it? (used when expressing sympathy)",taihendesune
えーと,"well, let me see",ēto
おねがいします,Please. (lit. ask for a favor),onegaishimasu
かしこまりました,"Certainly (sir, madam)",kashikomarimashita
おといあわせのばんごう,the number being inquired about,otoiawasenobangou
どうもありがとうごさいした,Thank you very much,doumoarigatougosaishita
ニューヨーク,New York,nyūyōku
ペキン,Beijing,pekin
ロンドン,London,rondon
バンコク,Bangkok,bankoku
ロサンゼルス,Los Angeles,rosanzerusu
