いきます,go,ikimasu
きます,come,kimasu
かえります,"go home, return",kaerimasu
がっこう,school,gakkou
スーパー,supermarket,sūpā
えき,station,eki
ひこうき,airplane,hikouki
ふね,ship,fune
でんしゃ,electric train,densha
ちかてつ,"subway, underground",chikatetsu
しんかんせん,"the Shinkansen, the bullet train",shinkansen
バス,bus,basu
タクシー,taxi,takushī
じてんしゃ,bicycle,jitensha
あるいて,on foot,aruite
ひと,"person, people",hito
ともだち,friend,tomodachi
かれ,"he, boyfriend, lover",kare
かのじょ,"she, girlfriend, lover",kanojo
かぞく,family,kazoku
ひとりで,"alone, by oneself",hitoride
せんしゅう,last week,senshuu
こんしゅう,this week,konshuu
らいしゅう,next week,raishuu
せんげつ,last month,sengetsu
こんげつ,this month,kongetsu
らいげつ,next month,raigetsu
きょねん,last year,kyonen
ことし,this year,kotoshi
らいねん,next year,rainen
～がつ,~th month of the year,～gatsu
なんがつ,what month,nangatsu
ついたち,first day of the month,tsuitachi
ふつか,"second, two days",futsuka
みっか,"third, three days",mikka
よっか,"fourth, four days",yokka
いつか,"fifth, five days",itsuka
むいか,"sixth, six days",muika
なのか,"seventh, seven days",nanoka
ようか,"eigth, eight days",youka
ここのか,"ninth, nine days",kokonoka
とおか,"tenth, ten days",tooka
じゅうよっか,"fourteenth, fourteen days",juuyokka
はつか,"twentieth, twenty days",hatsuka
にじゅうよっか,"twenty fourth, twenty four days",nijuuyokka
～にち,"~th day of the month, ~ days",～nichi
なんにち,"which day of the month, how many days",nannichi
いつ,when,itsu
たんじょうび,birthday,tanjoubi
ふつう,local (train),futsuu
きゅうこう,rapid,kyuukou
とっきゅう,express,tokkyuu
つぎの,next,tsugino
どういたしまして,"You're welcome, Don't mention it",douitashimashite
～ばんせん,"platform ~, ~th platform",～bansen
