きります,"cut, slice",kirimasu
おくります,send,okurimasu
あげます,give,agemasu
もらいます,receive,moraimasu
かします,lend,kashimasu
かります,borrow,karimasu
おしえます,teach,oshiemasu
ならいます,learn,naraimasu
でんわをかけます,make a telephone call,denwaokakemasu
て,"hand, arm",te
はし,chopsticks,hashi
スプーン,spoon,supūn
ナイフ,knife,naifu
フォーク,fork,fuōku
はさみ,scissors,hasami
ファクス,fax,fuakusu
ワープロ,word procecessor,wāpuro
パソコン,personal computer,pasokon
パンチ,punch,panchi
ホッチキス,stapler,hocchikisu
セロテープ,"Scotch tape, clear adhesive tape",serotēpu
けしゴマ,eraser,keshigoma
かみ,paper,kami
はな,"flower, blossom",hana
シャツ,shirt,shatsu
プレゼント,"present, gift",purezento
にもつ,"baggage, parcel",nimotsu
おかね,money,okane
きっぷ,ticket,kippu
クリスマス,Christmas,kurisumasu
ちち,(my) father,chichi
はは,(my) mother,haha
おとうさん,(someone else's) father,otousan
おかあさん,(someone else's) mother,okaasan
もう,already,mou
まだ,not yet,mada
これから,"from now on, soon",korekara
～すてきですね,What a nice ~!,～sutekidesune
ごめんください,"Excuse me, Anybody home?, May I come in? (an expression used by a visitor)",gomenkudasai
いらっしゃい,How nice of you to come (lit. Welcome),irasshai
どうぞおあがりください,Do come in,douzooagarikudasai
しつれいします,"Thank you, May I? (lit. I'm afraid I'll be disturbing you)",shitsureishimasu
～はいかがですか,"Won't you have ~?, Would you like to have ~? (used when offering something)",～haikagadesuka
いただきます,"Thank you, I accept (said before starting to eat or drink)",itadakimasu
りょこう,"trip, tour",ryokou
りょこうをします,make a trip,ryokouoshimasu
おみやげ,"souvenir, present",omiyage
ヨーロッパ,Europe,yōroppa
スパイン,Spain,supain
