わかります,understand,wakarimasu
あります,have,arimasu
すき,like,suki
きらい,dislike,kirai
じょうず,good at,jouzu
へた,poor at,heta
りょうり,"dish (cooked food), cooking",ryouri
のみもの,drinks,nomimono
スポーツ,sport,supōtsu
スポーツをします,play sports,supōtsuoshimasu
やきゅう,baseball,yakyuu
やきゅうをします,play baseball,yakyuuoshimasu
ダンス,dance,dansu
ダンスをします,dance,dansuoshimasu
おんがく,music,ongaku
うた,song,uta
クラシック,classical music,kurashikku
ジャズ,jazz,jazu
コンサート,concert,konsāto
カラオケ,karaoke,karaoke
かぶき,Kabuki (traditional Japanese musical drama),kabuki
え,"picture, drawing",e
じ,"letter, character",ji
かんじ,Chinese characters,kanji
ひらがな,Hiragana script,hiragana
かたかな,Katakana script,katakana
ローマじ,the Roman alpahabet,rōmaji
こまかいおかね,small change,komakaiokane
チケット,ticket,chiketto
じかん,time,jikan
ようじ,"something to do, errand",youji
やくそく,"appointment, promise",yakusoku
ごしゅじん,(someone else's) husband,goshujin
おっと,(my) husband,otto
しゅじん,(my) husband,shujin
おくさん,(someone else's) wife,okusan
つま,(my) wife,tsuma
かない,(my) wife,kanai
こども,child,kodomo
よく,"well, much",yoku
だいたい,"mostly, roughly",daitai
たくさん,"many, much",takusan
すこし,"a little, a few",sukoshi
ぜんぜん,not at all (used with negatives),zenzen
はやく,"early, quickly, fast",hayaku
はやく,"early, quickly, fast",hayaku
～から,because ~,～kara
どうして,why,doushite
ざんねんです,I'm sorry (to hear that)/That's a pity,zannendesu
すみません,I am sorry,sumimasen
もしもし,hello (used on phone),moshimoshi
ああ,oh,aa
いっしょうにいかがですか,Won't you join me (us)?,isshouniikagadesuka
～はちょっと,~ is a bit difficult (a euphemism used when declining an invitation),～hachotto
だめですか,So you cannot (come)?,damedesuka
またこんどおねがいします,"Please ask me again some other time (used when refusing an invitation indirectly, considering someone's feelings",matakondoonegaishimasu
