います,"exist, be (referring to animate things)",imasu
あります,"exist, be (referring to inanimate things)",arima
いろいろ,various,iroiro
おとこのひと,man,otokonohito
おんなのひと,woman,onnanohito
おとこのこ,boy,otokonoko
おんなのこ,girl,onnanoko
いぬ,dog,inu
ねこ,cat,neko
き,tree,ki
もの,thing,mono
フィルム,film,fuirumu
でんち,battery,denchi
はこ,box,hako
スイッチ,switch,suicchi
れいぞうこ,refrigerator,reizouko
テーブル,table,tēburu
ベッド,bed,beddo
たな,shelf,tana
ドア,door,doa
まど,window,mado
ポスト,"mailbox, postbox",posuto
ビル,building,biru
こうえん,park,kouen
きっさてん,coffee shop,kissaten
ほんや,bookstore,honya
～や,~ store,～ya
のりば,"a fixed place to catch taxis, trains, etc.",noriba
けん,prefecture,ken
うえ,"on, above, over",ue
した,"under, below, beneath",shita
まえ,"front, before",mae
うしろ,"back, behind",ushiro
みぎ,right (side),migi
ひだり,left (side),hidari
なか,"in, inside",naka
そと,outside,soto
となり,"next, next door",tonari
ちかく,"near, vicinity",chikaku
あいだ,"between, among",aida
～や～ など,"~, ~, and so on",～ya～ nado
いちばん～,the most ~,ichiban～
いちばんうえ,the top,ichibanue
～だんめ,the ~th shelf,～damme
だん,the counter for shelves,dan
どうもすみません,Thank you,doumosumimasen
チリソース,chilli sauce,chirisōsu
おく,the back,oku
スパイスコーナー,spice corner,supaisukōnā
