のります,"ride, get on",norimasu
でんしゃにのります,"ride, get on a train",denshaninorimasu
おります,get off,orimasu
でんしゃをおります,get off a train,denshaoorimasu
のりかえます,"change (trains, etc.)",norikaemasu
シャワーをあびます,take a shower,shawāoabimasu
いれます,"put in, insert",iremasu
だします,"take out, withdraw",dashimasu
はいります,enter,hairimasu
だいがくにはいります,enter a university,daigakunihairimasu
でます,graduate,demasu
だいがくをでます,graduate from a university,daigakuodemasu
やめます,"quit or retire from, stop, give up",yamemasu
かいしゃをやめます,quit or retire from a company,kaishaoyamemasu
おします,"press, push",oshimasu
わかい,young,wakai
ながい,long,nagai
みじかい,short,mijikai
あかるい,"bright, light",akarui
くらい,dark,kurai
せがたかい,tall (referring to person),segatakai
あたまがいい,"clever, smart",atamagaii
からだ,body,karada
あたま,head,atama
かみ,hair,kami
かお,face,kao
め,eye,me
みみ,ear,mimi
くち,mouth,kuchi
は,tooth,ha
おなか,stomach,onaka
あし,"leg, foot",ashi
サービス,service,sābisu
ジョギング,jogging,jogingu
ジョギングをします,jog,joginguoshimasu
シャワー,shower,shawā
みどり,"green, greenery",midori
てら,Buddhist temple,tera
じんじゃ,Shinto shrine,jinja
りゅうがくせい,foreign student,ryuugakusei
～ばん,number ~,～ban
どうやって,"in what way, how",douyatte
どの～,which ~ (used for three or more),dono～
いいえまだまだです,"No, I still have a long way to go",iiemadamadadesu
おひきだしですか,Are you making a withdrawl?,ohikidashidesuka
まず,first of all,mazu
キャッシュカード,cash dispensing card,kyasshukādo
あんしょうばんごう,"personal identification number, PIN",anshoubangou
つぎに,"next, as a next step",tsugini
きんがく,amount of money,kingaku
かくにん,confirmation,kakunin
かくにんします,confirm,kakuninshimasu
ボタン,button,botan
アジア,Asia,ajia
バンドン,Bandung (in Indonesia),bandon
,Veracruz (in Mexico),
フランケン,Franken (in Germany),furanken
ベトナム,Vietnam,betonamu
フエ,Hue (in Vietnam),fue
