おぼえます,memorize,oboemasu
わすれます,forget,wasuremasu
なくします,lose,nakushimasu
だします,hand in,dashimasu
レポートをだします,hand in a report,repōtoodashimasu
はらいます,pay,haraimasu
かえします,"give back, return",kaeshimasu
でかけます,go out,dekakemasu
ぬぎます,"take off (clothes, shoes, etc.)",nugimasu
もっていきます,take (something),motteikimasu
もってきます,bring (something),mottekimasu
しんぱいします,worry,shimpaishimasu
ざんぎょうします,work overtime,zangyoushimasu
しゅっちょうします,go on a business trip,shucchoushimasu
くすりのみます,take medicine,kusurinomimasu
おふろにはいります,take a bath,ofuronihairimasu
たいせつ,"important, precious",taisetsu
だいじょうぶ,all right,daijoubu
あぶない,dangerous,abunai
もんだい,"question, problem, trouble",mondai
こたえ,answer,kotae
きんえん,no smoking,kinen
けんこうほけんしょう,health insurance card,kenkouhokenshou
かぜ,cold,kaze
ねつ,fever,netsu
びょうき,"illness, disease",byouki
くすり,medicine,kusuri
おふろ,bath,ofuro
うわぎ,"jacket, outerwear",uwagi
したぎ,underwear,shitagi
せんせい,doctor (used when addressing a medical doctor),sensei
～までに,"before ~, by ~ (indicating time limit)",～madeni
ですから,"therefore, so",desukara
どうしましたか,What's the matter?,doushimashitaka
～がいたいです,have a pain in my ~,～gaitaidesu
のど,throat,nodo
おだいじに,Take care of yourself (said to people who are ill),odaijini
