できます,"be able to, can",dekimasu
あらいます,wash,araimasu
ひきます,"play (stringed instrument or piano, etc.)",hikimasu
うたいます,sing,utaimasu
あつめます,"collect, gather",atsumemasu
すてます,throw away,sutemasu
かえます,"exchange, change",kaemasu
うんてんします,drive,untenshimasu
よやくします,"reserve, book",yoyakushimasu
けんがくします,visit some place for study,kengakushimasu
ピアノ,piano,piano
～メートル,~ meter,～mētoru
こくさい～,international ~,kokusai～
げんきん,cash,genkin
しゅみ,hobby,shumi
にっき,diary,nikki
おいのり,prayer,oinori
おいのりをします,pray,oinorioshimasu
かちょう,section chief,kachou
ぶちょう,department chief,buchou
しゃちょう,president of a company,shachou
どうぶつ,animal,doubutsu
うま,horse,uma
へえ,Really! (used when expressing surprise),hee
それはおもしろいですね,That must be interesting,sorehaomoshiroidesune
なかなか,not easily (used with negatives),nakanaka
ぼくじょう,"ranch, stock farm",bokujou
ほんとうですか,Really?,hontoudesuka
ぜひ,by all means,zehi
