ききます,ask,kikimasu
せんせいにききます,ask the teacher,senseinikikimasu
まわします,turn,mawashimasu
ひきます,pull,hikimasu
かえます,change,kaemasu
さわります,touch,sawarimasu
ドアにさわります,touch a door,doanisawarimasu
でます,come out,demasu
おつりがでます,change comes out,otsurigademasu
うごきます,"move, work",ugokimasu
とけいがごきます,"a watch moves, works",tokeigagokimasu
あるきます,walk,arukimasu
みちをあるきます,walk along a road,michioarukimasu
わたります,cross,watarimasu
はしをわたります,cross a bridge,hashiowatarimasu
きをつけます,"pay attention, take care",kiotsukemasu
くるまにきをつけます,pay attention to cars,kurumanikiotsukemasu
ひっこしします,move (house),hikkoshishimasu
でんきや,electrician,denkiya
～や,person of ~ shop,～ya
サイズ,size,saizu
おと,sound,oto
きかい,machine,kikai
つまみ,knob,tsumami
こしょう,breakdown,koshou
こしょうします,break down,koshoushimasu
みち,"road, way",michi
こうさてん,crossroad,kousaten
しんごう,traffic light,shingou
かど,corner,kado
はし,bridge,hashi
ちゅうしゃじょう,"parking lot, car park",chuushajou
ーめ,the -th (indicating order),me
しょうがつ,New Year's Day,shougatsu
たてもの,building,tatemono
がいこくじんとうろくしょう,alien registration card,gaikokujintourokushou
