くれます,give(me),kuremasu
つれていきます,take (someone),tsureteikimasu
つれてきます,bring (someone),tsuretekimasu
おくります,"escort, go with",okurimasu
ひとをおくります,"escort, go with someone",hitoookurimasu
しょうかいします,introduce,shoukaishimasu
あんないします,"show around, show the way",annaishimasu
せつめいします,explain,setsumeishimasu
コーヒーをいれます,make coffee,kōhīoiremasu
おじいさん,"grandfather, old man",ojiisan
おじいちゃん,"grandfather, old man",ojiichan
おばあさん,"grandmother, old woman",obaasan
おばあちゃん,"grandmother, old woman",obaachan
じゅんび,preparation,jumbi
じゅんびします,prepare,jumbishimasu
いみ,meaning,imi
おかし,"sweets, snacks",okashi
ぜんぶ,all,zembu
じぶんで,by oneself,jibunde
ほかに,besides,hokani
ワゴンしゃ,station wagon,wagonsha
べんとう,box lunch,bentou
