かんがえます,"think, consider",kangaemasu
つきます,arrive,tsukimasu
えきにつきます,arrive at the station,ekinitsukimasu
りゅうがくします,study abroad,ryuugakushimasu
としをとります,grow old,toshiotorimasu
いなか,"countryside, hometown",inaka
たいしかん,embassy,taishikan
グループ,group,gurūpu
チャンス,chance,chansu
おく,hundred million,oku
もし～たら,if ~,moshi～tara
いくら ～でも,"however ~, even if ~",ikura ～demo
てんきん,transfer,tenkin
てんきんします,be transferred to another office,tenkinshimasu
こと,"thing, matter",koto
いっぱいのみましょう,Let's have a drink together,ippainomimashou
いろいろおせわになりました,Thank you for everything you have done for me,iroiroosewaninarimashita
がんばります,do one's best,gambarimasu
どうぞおげんきで,Best of luck (said when expecting a long separation),douzoogenkide
